player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
13305,Mike Washington,RB,LV,203.9,62.0,18.0,9.0,69.0,1.0,66.0,281.0,2.0,,,,0.0
5870,Daniel Jones,QB,IND,204.5,223.54,18.0,,,,47.0,191.0,2.0,3286.0,19.0,,7.0
10213,Tre Tucker,WR,LV,205.8,125.9,18.0,46.0,582.0,3.0,7.0,37.0,,,,,3.0
12522,Cam Ward,QB,TEN,206.4,227.84,18.0,,,,46.0,182.0,2.0,3516.0,19.0,,1.0
4033,David Njoku,TE,LAC,207.1,58.0,18.0,23.0,230.0,2.0,,,,,,,9.0
KC,Kansas City Chiefs,DST,KC,208.0,87.0,1.0,,,,,,,,,,
3321,Tyreek Hill,WR,FA,209.5,93.7,18.0,33.0,422.0,3.0,1.0,5.0,,,,Questionable,10.0
12487,Terrance Ferguson,TE,LAR,210.5,100.3,18.0,35.0,413.0,4.0,,,,,,,1.0
12535,Isaac TeSlaa,WR,DET,211.8,87.1,18.0,28.0,402.0,3.0,2.0,9.0,,,,,1.0
12476,Devin Neal,RB,NO,211.9,31.9,18.0,7.0,49.0,,39.0,160.0,1.0,,,Questionable,1.0
12509,Tre' Harris,WR,LAC,212.2,112.9,18.0,39.0,493.0,4.0,1.0,6.0,,,,,1.0
7528,Najee Harris,RB,FA,212.3,26.3,18.0,5.0,36.0,,30.0,117.0,1.0,,,Questionable,5.0
2020,Cairo Santos,K,CHI,213.5,100.0,18.0,,,,,,,,,,12.0
12536,Jaylin Noel,WR,HOU,213.7,82.9,18.0,31.0,362.0,2.0,7.0,37.0,,,,Questionable,1.0
4137,James Conner,RB,ARI,214.7,57.2,18.0,11.0,82.0,1.0,53.0,220.0,2.0,,,Questionable,9.0
11576,Braelon Allen,RB,NYJ,215.5,52.2,18.0,10.0,69.0,,57.0,233.0,2.0,,,,2.0
8111,Cade Otton,TE,TB,215.7,122.3,18.0,53.0,513.0,3.0,,,,,,,4.0
12504,Kaleb Johnson,RB,PIT,217.5,32.0,18.0,5.0,36.0,,42.0,174.0,1.0,,,,1.0
13301,Antonio Williams,WR,WAS,217.8,75.2,18.0,28.0,339.0,2.0,2.0,13.0,,,,,0.0
11625,Adonai Mitchell,WR,NYJ,218.8,98.3,18.0,35.0,443.0,3.0,1.0,10.0,,,,,2.0
IND,Indianapolis Colts,DST,IND,219.0,84.0,1.0,,,,,,,,,,
9494,Marvin Mims,WR,DEN,219.5,69.9,18.0,27.0,293.0,2.0,6.0,36.0,,,,Questionable,3.0
